,Product_names,Prices,Rating
0,"APPLE iPhone 14 (Purple, 128 GB)","₹71,999",4.6
1,"POCO X5 Pro 5G (Horizon Blue, 128 GB)","₹22,999",4.4
2,"APPLE iPhone 14 (Starlight, 128 GB)","₹71,999",4.6
3,"realme 10 Pro+ 5G (Nebula Blue, 256 GB)","₹27,999",4.5
4,"Google Pixel 6a (Charcoal, 128 GB)","₹29,999",4.3
5,"Google Pixel 6a (Chalk, 128 GB)","₹29,999",4.3
6,"realme 10 Pro+ 5G (Nebula Blue, 128 GB)","₹24,999",4.5
7,"realme 10 Pro+ 5G (Nebula Blue, 128 GB)","₹25,999",4.5
8,"realme 10 Pro+ 5G (Dark Matter, 128 GB)","₹24,999",4.5
9,"realme 10 Pro+ 5G (Hyperspace, 128 GB)","₹24,999",4.5
10,"realme 10 Pro+ 5G (Hyperspace, 128 GB)","₹25,999",4.5
11,"realme 10 Pro+ 5G (Dark Matter, 128 GB)","₹25,999",4.5
12,"REDMI Note 12 Pro 5G (Stardust Purple, 128 GB)","₹24,999",4.3
13,"vivo V27 5G (Magic Blue, 128 GB)","₹32,999",4.4
14,"APPLE iPhone 14 (Midnight, 128 GB)","₹71,999",4.6
15,"OnePlus Nord CE 2 Lite 5G (Blue Tide, 128 GB)","₹21,999",4.3
16,"vivo V27 5G (Noble Black, 128 GB)","₹32,999",4.4
17,"POCO X5 Pro 5G (Yellow, 256 GB)","₹24,999",4.3
18,"MOTOROLA g82 5G (Meterorite Grey, 128 GB)","₹21,499",4.1
19,"REDMI Note 12 Pro 5G (Glacier Blue, 128 GB)","₹24,999",4.3
20,"POCO X5 Pro 5G (Astral Black, 128 GB)","₹22,999",4.4
21,"REDMI Note 12 Pro 5G (Glacier Blue, 256 GB)","₹27,999",4.3
22,"MOTOROLA edge 30 (Meteor Grey, 128 GB)","₹23,199",4.1
23,"REDMI Note 12 Pro+ 5G (Iceberg Blue, 256 GB)","₹29,999",4.3
24,"APPLE iPhone 14 (Purple, 128 GB)","₹71,999",4.6
25,"POCO X5 Pro 5G (Horizon Blue, 128 GB)","₹22,999",4.4
